venue_id,venue_name,street,city,state,zip
VEN-021,Casino Chico,325 Broadway Street,Chico,California,95928
VEN-028,Central Coast Casino,359 Grand Avenue,Grover Beach,California,93433
VEN-3972,Bay 101,1788 N. First Street,San Jose,California,95112
VEN-3973,Bruce's Bar and Casino,TBD,Blythe,California,92225
VEN-3974,California Club Casino,TBD,San Ramon,California,94583
VEN-3975,Cameo Club,TBD,Stockton,California,95207
VEN-3976,El Dorado Hills Casino,"3909 Park Drive, Suite #200",El Dorado Hills,California,95762
VEN-3977,Garlic City Club,"8630 San Ysidro Avenue, Suite 100",Gilroy,California,95020
VEN-3978,Golden Valley Casino,TBD,Merced,California,95340
VEN-3979,Hacienda Casino,TBD,Cudahy,California,90201
VEN-3980,Isleton Casino,204 2nd Street,Isleton,California,95641
VEN-3981,Jalisco Pool Room,920 Guadalupe Street,Guadalupe,California,93434
VEN-3982,Kings Card Club,"6111 West Lane, #103",Stockton,California,95210
VEN-3983,La Primavera Pool Hall & Cafe,TBD,Madera,California,93638
VEN-3984,Mike's Card Casino,TBD,Oakdale,California,95361
VEN-3985,North Coast Casino,26 5th Street,Eureka,California,95501
VEN-3986,Oceana Cardroom,TBD,Oceano,California,93445
VEN-3987,Parkwest Casino 580,968 North Canyons Parkway,Livermore,California,94550
VEN-3988,Pinnacle Casino,TBD,Soledad,California,93960
VEN-3989,Racxx,TBD,Lincoln,California,95648
VEN-3990,Rogelio's,25 4th Avenue,Isleton,California,95641
VEN-3991,The River Card Room,TBD,Petaluma,California,94953
VEN-3992,The Saloon at Stones Gambling Hall,6508 Antelope Road,Citrus Heights,California,95621
VEN-3993,Tommy's Casino & Saloon,TBD,El Centro,California,92243
VEN-3994,Tres Lounge and Casino,TBD,Watsonville,California,95076
VEN-3995,Turlock Poker Room,2321-C West Main Street,Turlock,California,95380
VEN-3996,Westlane Card Room,"6111 West Lane, Suite 101",Stockton,California,95210
